k,sample,time,theta_0,theta_1,theta_2,theta_3
12,8,237.47644639015198,0.9691765904426575,0.48615968227386475,0.4826275408267975,0.1426132619380951
12,9,235.94247102737427,0.994886040687561,0.49840879440307617,0.4991888701915741,0.14876796305179596
12,10,235.6027798652649,0.9947330951690674,0.4901295304298401,0.5006331205368042,0.15149381756782532
12,11,234.45160174369812,0.9644709825515747,0.4845111072063446,0.4822786748409271,0.1302221715450287
12,12,237.25251507759094,0.9849417805671692,0.492455393075943,0.494686484336853,0.14169074594974518
12,13,238.0988826751709,0.9998999834060669,0.4945829212665558,0.49720168113708496,0.15497002005577087
12,14,238.71978378295898,0.9815406799316406,0.4920176863670349,0.4889874756336212,0.13835521042346954
12,15,236.59702253341675,0.9998999834060669,0.4959389865398407,0.5017141699790955,0.14917871356010437
12,16,233.61524939537048,0.9947851300239563,0.5000554323196411,0.4973980188369751,0.14915643632411957
12,17,238.37646389007568,0.9790722131729126,0.49022045731544495,0.4920239746570587,0.13755619525909424
12,18,237.98995113372803,0.9788355827331543,0.48607727885246277,0.4862349331378937,0.13651011884212494
